year,west,east
2003,614,575
1997,542,647
1986,483,460
1987,478,465
1984,482,461
1985,481,462
1982,482,461
1983,485,458
1980,448,454
1981,477,466
1988,479,464
1989,503,522
2014,674,556
2011,651,579
2010,636,594
2013,652,577
2012,516,474
1991,586,521
1990,590,517
1993,524,583
1992,534,573
1995,557,550
1994,545,562
1979,477,425
1978,474,428
1977,466,436
1998,541,648
1996,570,619
2002,596,593
1999,346,379
2000,591,598
2001,623,566
2006,642,588
2007,647,583
2004,630,559
2005,646,584
2008,648,582
2009,609,621
